l,h
170,55
160,55
120,55
120,55
160,55
160,55
160,55
140,55
140,55
127,76
188,76
188,76
182,18
165,30
370,76
370,76
293,38
293,38
152,18
152,18
140,55
140,55
140,55
140,38
170,38
170,55
173,34
197,34
352,38
155,38
413,38
308,76
308,76
313,34
290,34
290,34
161,55
163,55
109,18
171,55
171,55
171,55
114,24
145,38
116,55
116,55
145,18
181,38
176,55
175,55
146,34
169,34
130,55
131,55
168,34
169,34
169,34
139,38
151,30
215,38
171,55
161,55
161,55
160,34
160,34
122,34
120,34
120,34
282,55
280,55
280,55
160,34
174,32
105,76
275,76
270,76
270,76
376,76
376,76
238,76
238,76
129,55
129,55
118,55
116,55
115,38
115,38
185,55
185,55
426,76
426,76
423,76
423,76
442,55
442,55
447,55
447,55
155,34
139,34
220,30
156,18
145,38
125,38
191,34
157,34
169,55
169,55
155,38
109,34
170,55
170,55
115,38
127,38
166,34
141,34
171,55
176,55
148,38
120,28
134,12
150,38
123,38
121,38
181,55
193,38
140,55
172,34
194,34
140,55
178,34
172,34
200,34
180,34
168,38
184,38
184,38
170,55
140,55
271,34
272,34
272,34
177,34
140,38
146,38
125,34
116,55
116,55
116,55
116,55
158,34
394,34
394,34
401,34
401,34
141,55
191,55
122,38
122,38
120,38
120,38
171,38
173,38
122,38
212,34
215,34
215,34
125,55
120,55
120,55
127,34
158,34
163,34
110,55
100,26
405,38
425,76
571,76
145,34
144,34
144,34
363,38
354,38
249,55
249,55
192,55
192,55
256,38
332,34
332,34
263,55
152,55
140,55
171,34
157,38
110,32
60,30
64,30
179,38
179,38
229,34
256,38
185,38
417,38
407,38
407,38
85,55
295,34
295,34
85,55
85,20
85,14
189,34
182,34
217,24
252,24
178,34
178,34
131,38
131,38
252,38
180,76
180,76
56,20
292,76
274,76
172,55
50,55
272,76
271,76
271,76
147,55
143,55
195,34
195,34
75,20
72,38
215,26
215,26
108,22
136,38
92,55
164,76
152,76
85,38
90,55
248,55
241,55
241,55
60,34
140,34
205,38
209,38
217,34
194,34
140,55
140,55
160,38
160,38
170,55
190,55
137,34
137,34
168,38
158,26
52,34
60,38
56,30
111,26
57,38
57,38
145,38
95,26
80,28
138,76
138,76
127,34
127,34
120,34
73,26
141,38
193,38
193,38
60,38
69,55
70,26
85,38
120,55
160,34
160,34
147,76
162,76
160,34
160,34
165,55
160,34
165,55
210,76
210,76
52,34
157,38
160,22
297,38
171,76
171,76
170,76
372,76
372,76
431,76
487,76
